
Grupo 1

state ; population ; infected ; death ; recovered ; migration ; politic ; density ; temperature ; employment ; poverly ; netspeed ; netcoverage ; rurality
California  ; 38332521 ; 96400 ; 3769 ; 92631.06 ; 0.013070442197109865 ; 0 ; 256.3728 ; 41.6208 ; 39623408 ; 12.5 ; 29.0 ; 94.5 ; 8.1
Florida  ; 19552860 ; 51746 ; 2252 ; 49494.012 ; 0.030034532032654045 ; 1 ; 410.1259 ; 52.9208 ; 21640391 ; 13.6 ; 41.2 ; 94.9 ; 8.6
Illinois  ; 12882135 ; 112017 ; 4885 ; 107132.01699999999 ; 0.01603926678302937 ; 0 ; 228.0246 ; 34.0208 ; 14299174 ; 10.9 ; 40.4 ; 92.3 ; 15.5
New York  ; 19651127 ; 362764 ; 29229 ; 64280.0 ; 0.012948214115149731 ; 0 ; 412.5218 ; 27.6208 ; 22147985 ; 11.8 ; 45.2 ; 97.8 ; 10.6
Pennsylvania  ; 12773801 ; 71925 ; 5146 ; 40911.0 ; 0.01984687251664559 ; 0 ; 286.5454 ; 31.0208 ; 14219391 ; 11.5 ; 41.4 ; 94.7 ; 18.9
Texas  ; 26448193 ; 56409 ; 1533 ; 35292.0 ; 0.02132262873308585 ; 1 ; 112.8204 ; 47.0208 ; 27507052 ; 13.7 ; 46.9 ; 86.9 ; 17.4

Grupo 2

state ; population ; infected ; death ; recovered ; migration ; politic ; density ; temperature ; employment ; poverly ; netspeed ; netcoverage; rurality
Alabama  ; 4833722 ; 14986 ; 566 ; 7951.0 ; 0.022612181668701683 ; 1 ; 96.9221 ; 45.0208 ; 4455590 ; 16.0 ; 33.7 ; 81.2 ; 34.2
Alaska  ; 735132 ; 408 ; 10 ; 361.0 ; 0.043664267097609684 ; 1 ; 1.2863 ; -2.0 ; 718584 ; 12.2 ; 27.9 ; 78.2 ; 50.6
Arizona  ; 6626624 ; 16575 ; 807 ; 4204.0 ; 0.04130519552640983 ; 1 ; 64.9549 ; 42.5208 ; 6318657 ; 14.4 ; 33.9 ; 86.7 ; 19.4
Arkansas  ; 2959373 ; 6029 ; 117 ; 4249.0 ; 0.02472787310014655 ; 1 ; 58.403 ; 42.6208 ; 2728483 ; 15.5 ; 25.0 ; 76.7 ; 50.2
Colorado  ; 5268367 ; 24256 ; 1333 ; 3666.0 ; 0.045394142055783133 ; 0 ; 56.4012 ; 27.3208 ; 6317666 ; 8.9 ; 40.9 ; 90.4 ; 17.9
Connecticut  ; 3596080 ; 40873 ; 3742 ; 7127.0 ; 0.023558430290761045 ; 0 ; 735.8695 ; 31.2208 ; 4071818 ; 9.9 ; 41.8 ; 99.0 ; 5.8
Delaware  ; 925749 ; 8965 ; 332 ; 4693.0 ; 0.0372141908875948 ; 0 ; 504.3073 ; 37.5208 ; 1052950 ; 9.6 ; 44.9 ; 97.5 ; 22.3
Georgia  ; 9992167 ; 43400 ; 1848 ; 41552.013 ; 0.027448800645545657 ; 1 ; 186.6726 ; 45.7208 ; 10039531 ; 14.7 ; 39.1 ; 90.6 ; 24.8
Hawaii  ; 1404054 ; 643 ; 17 ; 591.0 ; 0.038512763754100635 ; 0 ; 219.9424 ; 52.2208 ; 1453877 ; 9.5 ; 22.5 ; 96.0 ; 31.1
Idaho  ; 1612136 ; 2626 ; 79 ; 1755.0 ; 0.04947783561684623 ; 1 ; 22.097 ; 26.6208 ; 1611623 ; 11.3 ; 25.6 ; 82.0 ; 41.9
Indiana  ; 6570902 ; 31715 ; 1984 ; 29731.017999999996 ; 0.02210594527204941 ; 1 ; 188.2809 ; 33.9208 ; 7188014 ; 11.8 ; 36.7 ; 85.7 ; 27.2
Iowa  ; 3090416 ; 17557 ; 456 ; 9377.0 ; 0.02400938902723776 ; 1 ; 56.9284 ; 30.0208 ; 3575063 ; 9.2 ; 24.7 ; 83.7 ; 51.6
Kansas  ; 2893957 ; 9125 ; 207 ; 493.0 ; 0.03308549505054843 ; 0 ; 35.5968 ; 36.5208 ; 3202927 ; 10.8 ; 39.9 ; 81.9 ; 45.2
Kentucky  ; 4395295 ; 8571 ; 391 ; 3102.0 ; 0.025130508873693343 ; 0 ; 113.9566 ; 37.8208 ; 4203140 ; 15.3 ; 30.5 ; 85.3 ; 49.4
Louisiana  ; 4625470 ; 37809 ; 2691 ; 28700.0 ; 0.017588482900116095 ; 0 ; 107.5174 ; 48.6208 ; 4579023 ; 19.8 ; 35.1 ; 84.6 ; 32.5
