State	Connectivity_Rank	Average_Speed_mbps	Broadband_Coverage_percent
New Jersey	1	52.0	99
Connecticut	2	41.8	99
Rhode Island	3	46.7	98.2
New York	4	45.2	97.8
Massachusetts	5	43.5	97.6
Delaware	6	44.9	97.5
Hawaii	7	22.5	96
Maryland	8	51.3	96.7
California	9	29.0	94.5
Florida	10	41.2	94.9
Utah	11	37.2	94.9
Pennsylvania	12	41.4	94.7
New Hampshire	13	37.4	94.3
Washington	14	41.0	94.2
North Carolina	15	42.4	93.1
Ohio	16	32.1	91.9
Illinois	17	40.4	92.3
North Dakota	18	28.6	92.2
Nevada	19	34.3	91.8
Georgia	20	39.1	90.6
Maine	21	21.2	89.7
Virginia	22	48.7	89.9
Colorado	23	40.9	90.4
Tennessee	24	36.6	89.9
Oregon	25	39.1	89.7
Michigan	26	28.7	88.3
Minnesota	27	36.8	88.1
South Carolina	28	39.3	88.2
Arizona	29	33.9	86.7
Texas	30	46.9	86.9
Vermont	31	22.4	86.1
Wisconsin	32	37.4	85.3
South Dakota	33	26.8	85.3
Indiana	34	36.7	85.7
Kentucky	35	30.5	85.3
Louisiana	36	35.1	84.6
Idaho	37	25.6	82
Iowa	38	24.7	83.7
Nebraska	39	27.1	82.4
Kansas	40	39.9	81.9
Alabama	41	33.7	81.2
Missouri	42	38.5	80.1
New Mexico	43	30.0	80.3
Alaska	44	27.9	78.2
West Virginia	45	29.9	75.2
Wyoming	46	26.8	74.5
Oklahoma	47	40.2	73.3
Arkansas	48	25.0	76.7
Mississippi	49	25.2	70.2
Montana	50	20.3	69.2
