state	ASpeed_Mbps	BCoverage_percent
Alabama	33.7	81.2
Alaska	27.9	78.2
Arizona	33.9	86.7
Arkansas	25.0	76.7
California	29.0	94.5
Colorado	40.9	90.4
Connecticut	41.8	99
Delaware	44.9	97.5
Florida	41.2	94.9
Georgia	39.1	90.6
Hawaii	22.5	96
Idaho	25.6	82
Illinois	40.4	92.3
Indiana	36.7	85.7
Iowa	24.7	83.7
Kansas	39.9	81.9
Kentucky	30.5	85.3
Louisiana	35.1	84.6
Maine	21.2	89.7
Maryland	51.3	96.7
Massachusetts	43.5	97.6
Michigan	28.7	88.3
Minnesota	36.8	88.1
Mississippi	25.2	70.2
Missouri	38.5	80.1
Montana	20.3	69.2
Nebraska	27.1	82.4
Nevada	34.3	91.8
New Hampshire	37.4	94.3
New Jersey	52.0	99
New Mexico	30.0	80.3
New York	45.2	97.8
North Carolina	42.4	93.1
North Dakota	28.6	92.2
Ohio	32.1	91.9
Oklahoma	40.2	73.3
Oregon	39.1	89.7
Pennsylvania	41.4	94.7
Rhode Island	46.7	98.2
South Carolina	39.3	88.2
South Dakota	26.8	85.3
Tennessee	36.6	89.9
Texas	46.9	86.9
Utah	37.2	94.9
Vermont	22.4	86.1
Virginia	48.7	89.9
Washington	41.0	94.2
West Virginia	29.9	75.2
Wisconsin	37.4	85.3
Wyoming	26.8	74.5
