United States2;323531965;+/- 28863;278079469;+/- 191887;35921585;+/- 160760;7571282;+/- 77765
Alabama;4832358;+/- 3328;4173026;+/- 19530;534914;+/- 18557;109301;+/- 9827
Alaska;727164;+/- 1214;608707;+/- 7474;81229;+/- 5883;32099;+/- 4643
Arizona;7090137;+/- 4507;5887700;+/- 28309;888452;+/- 25934;273714;+/- 15128
Arkansas;2975961;+/- 3093;2539294;+/- 19535;354774;+/- 17489;73179;+/- 7023
California;39114889;+/- 11156;34232867;+/- 55636;4092388;+/- 50349;501023;+/- 17029
Colorado;5633029;+/- 3632;4626834;+/- 24416;728730;+/- 20205;239153;+/- 15015
Connecticut;3538203;+/- 3043;3102312;+/- 17295;320248;+/- 14157;84718;+/- 7195
Delaware;958770;+/- 1413;853523;+/- 7519;67984;+/- 6209;34451;+/- 4392
District of Columbia ;693798;+/- 1873;568201;+/- 6930;68603;+/- 5579;47555;+/- 4011
Florida;21092877;+/- 8313;17863603;+/- 57744;2420485;+/- 51354;587261;+/- 22336
Georgia;10410462;+/- 5598;8909803;+/- 34965;1174523;+/- 34817;274273;+/- 15590
Hawaii;1403653;+/- 1798;1211015;+/- 10611;125172;+/- 9102;54074;+/- 5497
Idaho;1734756;+/- 1843;1438727;+/- 13783;209540;+/- 11848;79765;+/- 7651
Illinois;12599244;+/- 4929;11029483;+/- 28667;1295596;+/- 27638;206620;+/- 12209
Indiana;6612948;+/- 4582;5614432;+/- 25211;821113;+/- 19953;145256;+/- 9569
Iowa;3119306;+/- 2428;2662849;+/- 14455;371285;+/- 12931;74199;+/- 4846
Kansas;2874208;+/- 2798;2392841;+/- 17716;371025;+/- 16909;95748;+/- 7841
Kentucky;4414714;+/- 3279;3744188;+/- 18273;547535;+/- 17640;110456;+/- 8385
Louisiana;4603081;+/- 3921;4033845;+/- 20655;474843;+/- 19702;81355;+/- 7131
Maine;1324095;+/- 1563;1143612;+/- 8051;142453;+/- 7284;34706;+/- 3872
Maryland;5974521;+/- 4649;5133916;+/- 25668;630955;+/- 20758;163216;+/- 10535
Massachusetts;6834364;+/- 3940;5970065;+/- 27037;653940;+/- 24452;144042;+/- 7468
Michigan;9891083;+/- 5094;8562101;+/- 27627;1144840;+/- 25036;139276;+/- 9581
Minnesota;5543490;+/- 3354;4781432;+/- 18432;635928;+/- 16956;100270;+/- 6150
Mississippi;2955717;+/- 2710;2582347;+/- 16553;297788;+/- 14562;68000;+/- 7708
Missouri;6053109;+/- 4138;5161553;+/- 20177;720626;+/- 18922;152326;+/- 8935
Montana;1051757;+/- 1381;891554;+/- 8487;113693;+/- 6464;43375;+/- 4560
Nebraska;1905843;+/- 2229;1602056;+/- 12636;239853;+/- 10425;54579;+/- 5668
Nevada;3003761;+/- 2581;2495398;+/- 19156;366629;+/- 16899;127362;+/- 9279
New Hampshire;1344750;+/- 1556;1170412;+/- 9723;119936;+/- 8415;48367;+/- 4520
New Jersey;8815804;+/- 5090;7870909;+/- 27774;722620;+/- 23628;159846;+/- 11726
New Mexico;2072546;+/- 2647;1797834;+/- 15105;204099;+/- 13898;60068;+/- 6617
New York;19329704;+/- 7489;17327068;+/- 36048;1614505;+/- 32857;254447;+/- 9994
North Carolina;10274540;+/- 4937;8723401;+/- 36579;1178884;+/- 32327;318681;+/- 14755
North Dakota;749825;+/- 1391;623183;+/- 7019;89228;+/- 6522;33735;+/- 4338
Ohio;11555163;+/- 5668;9892715;+/- 29438;1426959;+/- 27610;198026;+/- 10200
Oklahoma;3895983;+/- 2671;3226343;+/- 19150;548493;+/- 16807;106943;+/- 7091
Oregon;4152756;+/- 2818;3438653;+/- 21057;554097;+/- 19988;140627;+/- 8621
Pennsylvania;12674699;+/- 5544;11119060;+/- 29386;1239854;+/- 27201;253520;+/- 11151
Rhode Island;1047975;+/- 1870;928114;+/- 8740;78525;+/- 6998;32841;+/- 3919
South Carolina;5029034;+/- 4100;4309043;+/- 19661;511153;+/- 17925;186505;+/- 10214
South Dakota;871271;+/- 1414;740970;+/- 7483;100177;+/- 7064;26775;+/- 3764
Tennessee;6692936;+/- 4573;5706212;+/- 25189;748791;+/- 24332;209377;+/- 12422
Texas;28333482;+/- 10498;23992374;+/- 61744;3575604;+/- 57916;563945;+/- 24840
Utah;3114717;+/- 3345;2583764;+/- 17461;408033;+/- 13986;100824;+/- 7505
Vermont;621681;+/- 937;542177;+/- 5046;50818;+/- 4088;26306;+/- 3523
Virginia;8424340;+/- 5001;7142767;+/- 30604;947475;+/- 29018;274003;+/- 13094
Washington;7453439;+/- 4565;6101533;+/- 28433;1028654;+/- 26957;260906;+/- 14324
West Virginia;1787630;+/- 2061;1585832;+/- 8806;156420;+/- 8563;43841;+/- 4205
Wisconsin;5751525;+/- 3027;4960260;+/- 19314;659159;+/- 17572;114613;+/- 6968
Wyoming;570867;+/- 1239;479561;+/- 7122;62957;+/- 6074;25734;+/- 3856
