state	rural_population	percentageruralpopulation	suburban	percentagesuburban	urban	percentageurban	totalpopulation
Alabama	1,636,673	34.2	2,921,817	61.1	226,548	4.7	4,785,038
Alaska	359,152	50.6	209,041	29.4	142,038	20.0	710,231
Arizona	1,242,135	19.4	2,702,580	42.3	2,450,354	38.3	6,395,069
Arkansas	1,485,102	50.2	1,368,099	46.3	103,477	3.5	2,956,678
California	3,015,350	8.1	12,860,109	34.5	21,383,793	57.4	37,259,252
Colorado	901,730	17.9	2,283,953	45.4	1,847,833	36.7	5,033,516
Connecticut	207,821	5.8	2,424,630	67.8	946,252	26.4	3,578,703
Delaware	201,095	22.3	524,132	58.2	175,436	19.5	900,663
Florida	1,622,504	8.6	11,316,839	60.2	5,861,967	31.2	18,801,310
Georgia	2,405,547	24.8	6,513,714	67.1	788,821	8.1	9,708,082
Hawaii	422,536	31.1	467,255	34.3	470,510	34.6	1,360,301
Idaho	662,530	41.9	782,177	49.5	135,669	8.6	1,580,376
Illinois	1,992,480	15.5	5,671,585	44.2	5,166,567	40.3	12,830,632
Indiana	1,766,914	27.2	3,905,261	60.1	829,879	12.8	6,502,054
Iowa	1,573,531	51.6	1,135,208	37.2	340,284	11.2	3,049,023
Kansas	1,289,769	45.2	1,169,125	41.0	395,693	13.9	2,854,587
Kentucky	2,171,340	49.4	1,646,536	37.4	579,610	13.2	4,397,486
Louisiana	1,476,318	32.5	2,348,190	51.7	715,828	15.8	4,540,336
Maine	689,897	51.9	555,491	41.8	82,973	6.2	1,328,361
Maryland	465,330	8.0	3,233,179	55.7	2,101,109	36.2	5,799,618
Massachusetts	228,614	3.5	3,906,232	59.6	2,421,006	36.9	6,555,852
Michigan	1,915,035	19.4	5,392,363	54.6	2,576,242	26.1	9,883,640
Minnesota	1,687,709	31.8	2,655,670	50.0	967,508	18.2	5,310,887
Mississippi	1,824,915	61.7	1,095,881	37.0	38,054	1.3	2,958,850
Missouri	2,028,202	33.9	2,954,984	49.4	995,878	16.7	5,979,064
Montana	718,957	72.7	193,701	19.6	76,757	7.8	989,415
Nebraska	830,370	45.5	602,144	33.0	392,006	21.5	1,824,520
Nevada	290,761	10.8	952,697	35.3	1,457,093	54.0	2,700,551
New Hampshire	503,248	38.2	705,658	53.6	107,564	8.2	1,316,470
New Jersey	132,985	1.5	4,825,493	54.9	3,830,687	43.6	8,789,165
New Mexico	853,578	41.4	787,795	38.2	420,624	20.4	2,061,997
New York	2,060,418	10.6	5,962,063	30.8	11,358,207	58.6	19,380,688
North Carolina	2,944,145	30.9	6,120,671	64.1	476,548	5.0	9,541,364
North Dakota	390,412	57.7	166,813	24.7	119,236	17.6	676,461
Ohio	2,626,905	22.7	6,354,773	54.9	2,588,136	22.4	11,569,814
Oklahoma	1,686,924	44.9	1,485,124	39.5	583,409	15.5	3,755,457
Oregon	1,166,556	30.6	1,387,913	36.4	1,262,290	33.1	3,816,759
Pennsylvania	2,396,337	18.9	6,387,141	50.3	3,918,882	30.9	12,702,360
Rhode Island	23,831	2.3	570,138	54.8	445,769	42.9	1,039,738
South Carolina	1,341,050	29.1	3,148,741	68.3	117,256	2.5	4,607,047
South Dakota	501,717	62.2	262,141	32.5	42,149	5.2	806,007
Tennessee	1,957,892	31.2	3,770,714	60.1	544,561	8.7	6,273,167
Texas	4,377,018	17.4	14,060,290	56.0	6,677,658	26.6	25,114,966
Utah	485,660	17.5	1,549,689	55.9	735,041	26.5	2,770,390
Vermont	439,660	70.6	156,036	25.0	27,459	4.4	623,155
Virginia	1,510,973	18.9	4,675,776	58.6	1,792,936	22.5	7,979,685
Washington	1,126,678	16.8	3,814,675	56.7	1,783,187	26.5	6,724,540
West Virginia	931,626	51.9	778,986	43.4	84,519	4.7	1,795,131
Wisconsin	1,859,138	32.7	2,639,668	46.4	1,184,384	20.8	5,683,190
Wyoming	400,937	74.0	116,154	21.4	25,078	4.6	542,169
