state	temperature
Alabama	45.0208
Alaska	-2.0000
Arizona	42.5208
Arkansas	42.6208
California	41.6208
Colorado	27.3208
Connecticut	31.2208
Delaware	37.5208
Florida	52.9208
Georgia	45.7208
Hawaii	52.2208
Idaho	26.6208
Illinois	34.0208
Indiana	33.9208
Iowa	30.0208
Kansas	36.5208
Kentucky	37.8208
Louisiana	48.6208
Maine	23.2208
Maryland	36.4208
Massachusetts	30.1208
Michigan	26.6208
Minnesota	23.4208
Mississippi	45.6208
Missouri	36.8208
Montana	24.9208
Nebraska	31.0208
Nevada	32.1208
New Hampshire	26.0208
New Jersey	34.9208
New Mexico	35.6208
New York	27.6208
North Carolina	41.2208
North Dakota	22.6208
Ohio	32.9208
Oklahoma	41.8208
Oregon	30.6208
Pennsylvania	31.0208
Rhode Island	32.3208
South Carolina	44.6208
South Dakota	27.4208
Tennessee	39.8208
Texas	47.0208
Utah	30.8208
Vermont	25.1208
Virginia	37.3208
Washington	30.5208
West Virginia	34.0208
Wisconsin	25.3208
Wyoming	24.2208
