State	AverageTemperature	Pop
Alaska	26.6000	734002
North Dakota	40.4000	761723
Maine	41	1345790
Minnesota	41.2000	5700670
Wyoming	42	567025
Montana	42.7000	1086760
Vermont	42.9000	628061
Wisconsin	43.1000	5851750
New Hampshire	43.8000	1371250
Idaho	44.4000	1826160
Michigan	44.4000	10045000
Colorado	45.1000	5845530
South Dakota	45.2000	903027
New York	45.4000	19440500
Iowa	47.8000	3179850
Massachusetts	47.9000	6976600
Washington	48.3000	7797100
Oregon	48.4000	4301090
Utah	48.6000	3282120
Nebraska	48.8000	1952570
Pennsylvania	48.8000	12820900
Connecticut	49	3563080
Nevada	49.9000	3139660
Rhode Island	50.1000	1056160
Ohio	50.7000	11747700
Indiana	51.7000	6745350
Illinois	51.8000	12659700
West Virginia	51.8000	1778070
New Jersey	52.7000	8936570
New Mexico	53.4000	2096640
Maryland	54.2000	6083120
Kansas	54.3000	2910360
Missouri	54.6000	6169270
Virginia	55.1000	8626210
Delaware	55.3000	982895
Kentucky	55.6000	4499690
Tennessee	57.6000	6897580
North Carolina	59	10611900
California	59.4000	39937500
Oklahoma	59.6000	3954820
Arizona	60.3000	7378490
Arkansas	60.4000	3039000
South Carolina	62.4000	5210100
Alabama	62.8000	4908620
Mississippi	63.4000	2989260
Georgia	63.5000	10736100
Texas	64.8000	29472300
Louisiana	66.4000	4645180
Hawaii	70	1412690
Florida	70.7000	21993000
